SecurityCode,companyName,marketCapFull
526500,STERLING GREEN WOODS LTD.,15.64
531402,LWS KNITWEAR LTD.,15.68
539090,Rajputana Investment and Finance Ltd,15.75
511463,Alexander Stamps And Coin Ltd,15.83
501148,DALAL STREET INVESTMENTS LTD.,15.85
512097,Saianand Commercial Limited,15.9
500202,INDIA LEASE DEVELOPMENT LTD.,15.94
503669,K K Fincorp Limited,15.96
514028,RAJKAMAL SYNTHETICS LTD.,15.99
511758,MANSI FINANCE (CHENNAI) LTD.,16.04
539621,BCL Enterprises Ltd,16.09
519262,PRIMA AGRO LTD.,16.1
511626,RR FINANCIAL CONSULTANTS LTD.,16.17
526588,PHOTOQUIP INDIA LTD.,16.2
531841,Indus Finance Ltd,16.2
520141,SIBAR AUTO PARTS LTD.,16.24
506979,APT PACKAGING LTD.,16.26
512064,Vishvprabha Ventures Ltd,16.29
530675,YORK EXPORTS LTD.,16.3
538569,Triveni Enterprises Ltd,16.31
539143,Panth Infinity Ltd,16.34
523844,Constronics Infra Ltd,16.49
531779,PADMANABH ALLOYS & POLYMERS LTD.,16.5
509073,HATHWAY BHAWANI CABLETEL & DATACOM LTD.,16.53
543274,Suumaya Corporation Ltd,16.59
532398,Usha Martin Education & Solutions Limited,16.64
511593,Libord Finance Ltd,16.67
523242,NB FOOTWEAR LTD.,16.69
514264,SEASONS TEXTILES LTD.-$,16.73
531456,MINAXI TEXTILES LTD.,16.75
532985,Kotak S&P BSE Sensex ETF,16.78
542938,Octavius Plantations Ltd,16.8
533317,OMKAR SPECIALITY CHEMICALS LTD.,16.87
517423,INTEGRA SWITCHGEAR LTD.,16.9
534708,Shanti Guru Industries Ltd,16.93
506935,CONTINENTAL CHEMICALS LTD.,16.93
539287,Ortin Laboratories Ltd,16.95
531502,ESAAR (INDIA) LTD.,16.95
526477,SOUTH ASIAN ENTERPRISES LTD.,17.01
538609,Gajanan Securities Services Ltd,17.03
538812,Aanchal Ispat Ltd,17.04
543651,DAPS Advertising Ltd,17.08
519463,IB INFOTECH ENTERPRISES LTD.,17.08
532676,PBA INFRASTRUCTURE LTD.,17.12
523650,Yash Innoventures Ltd,17.14
539697,Hiliks Technologies Ltd,17.19
543754,Transvoy Logistics India Ltd,17.2
520131,COASTAL ROADWAYS LTD.,17.27
541444,Palm Jewels Ltd,17.37
538770,Crane Infrastructure Ltd,17.37
506947,ADVANCE PETROCHEMICALS LTD.,17.39
523832,MUKAT PIPES LTD.-$,17.43
539174,Helpage Finlease Ltd,17.49
522245,IYKOT HITECH TOOLROOM LTD.,17.49
